iter	Passed	Remaining
0	31	62785
1	49	49565
2	67	45093
3	85	42466
4	98	39341
5	111	37057
6	126	35932
7	139	34676
8	151	33553
9	164	32829
10	183	33129
11	196	32613
12	209	32036
13	224	31832
14	238	31557
15	252	31267
16	265	30988
17	280	30895
18	296	30871
19	310	30762
20	326	30723
21	341	30739
22	356	30669
23	371	30548
24	384	30375
25	397	30201
26	409	29909
27	430	30292
28	445	30294
29	460	30256
30	478	30387
31	493	30379
32	507	30243
33	522	30190
34	536	30099
35	549	29977
36	562	29852
37	577	29795
38	590	29689
39	605	29667
40	621	29677
41	636	29692
42	651	29660
43	667	29693
44	682	29633
45	697	29631
46	713	29648
47	728	29627
48	741	29543
49	751	29327
50	766	29307
51	780	29245
52	794	29188
53	809	29182
54	824	29165
55	837	29085
56	846	28848
57	863	28901
58	878	28913
59	894	28920
60	911	28981
61	926	28969
62	940	28923
63	955	28900
64	971	28911
65	984	28848
66	996	28761
67	1010	28719
68	1024	28658
69	1036	28568
70	1047	28470
71	1063	28486
72	1076	28413
73	1089	28348
74	1101	28279
75	1116	28273
76	1130	28227
77	1143	28179
78	1158	28162
79	1171	28115
80	1184	28051
81	1197	28015
82	1213	28020
83	1228	28031
84	1245	28055
85	1263	28125
86	1284	28237
87	1302	28301
88	1325	28464
89	1350	28651
90	1372	28800
91	1391	28854
92	1428	29294
93	1446	29334
94	1468	29452
95	1487	29508
96	1507	29569
97	1526	29624
98	1543	29641
99	1561	29668
100	1586	29835
101	1605	29883
102	1621	29855
103	1633	29772
104	1645	29689
105	1664	29741
106	1678	29688
107	1692	29649
108	1713	29734
109	1726	29670
110	1739	29600
111	1755	29599
112	1768	29524
113	1781	29477
114	1796	29451
115	1819	29555
116	1835	29543
117	1849	29491
118	1860	29414
119	1873	29358
120	1889	29344
121	1903	29295
122	1914	29212
123	1929	29190
124	1943	29146
125	1960	29157
126	1979	29194
127	1996	29199
128	2015	29232
129	2038	29315
130	2056	29335
131	2073	29339
132	2089	29327
133	2107	29350
134	2125	29361
135	2144	29389
136	2159	29365
137	2172	29310
138	2185	29262
139	2198	29213
140	2208	29119
141	2221	29064
142	2235	29025
143	2246	28955
144	2258	28896
145	2273	28868
146	2283	28780
147	2294	28714
148	2306	28648
149	2318	28589
150	2330	28535
151	2341	28462
152	2352	28401
153	2364	28344
154	2376	28283
155	2388	28229
156	2400	28177
157	2411	28117
158	2422	28050
159	2434	28001
160	2446	27950
161	2458	27891
162	2470	27841
163	2481	27783
164	2494	27736
165	2505	27686
166	2517	27634
167	2531	27601
168	2543	27556
169	2555	27514
170	2568	27470
